project_name,status,owner,progress,risk_level,last_update
Power BI Migration,Active,John,70%,Medium,2026-03-10
AI Dashboard,Active,Sarah,40%,High,2026-03-12
Finance Analytics,Completed,Mike,100%,Low,2026-02-20
Retail Insights,Active,Anna,55%,High,2026-03-15
HR Dashboard,Active,David,80%,Low,2026-03-11
Sales Forecasting,Active,Emily,65%,High,2026-03-14
Customer Segmentation,Active,Chris,50%,Medium,2026-03-13
Supply Chain Optimization,Active,Raj,35%,High,2026-03-16
Marketing Analytics,Completed,Sophia,100%,Low,2026-02-25
Inventory Dashboard,Active,Daniel,75%,Low,2026-03-09
Fraud Detection System,Active,Amit,45%,High,2026-03-17
Revenue Insights,Active,Olivia,60%,Medium,2026-03-12
Operational Efficiency,Active,Noah,30%,High,2026-03-18
Procurement Analytics,Completed,Liam,100%,Low,2026-02-28
Customer Experience AI,Active,Ethan,50%,High,2026-03-14
Logistics Dashboard,Active,Arjun,68%,Medium,2026-03-10
Workforce Planning,Active,Mia,72%,Low,2026-03-11
Cloud Migration BI,Active,Lucas,55%,Medium,2026-03-13
Financial Risk Model,Active,Isabella,42%,High,2026-03-16
Executive KPI Dashboard,Completed,James,100%,Low,2026-02-22
Product Performance Analytics,Active,Ava,63%,Medium,2026-03-15
Churn Prediction Model,Active,Benjamin,48%,High,2026-03-17
Vendor Analytics,Active,Charlotte,77%,Low,2026-03-09
Demand Forecasting AI,Active,Henry,52%,Medium,2026-03-14
Compliance Reporting,Active,Amelia,35%,High,2026-03-18
Budget Planning Dashboard,Completed,Logan,100%,Low,2026-02-26
Ad Campaign Analytics,Active,Harper,58%,Medium,2026-03-12
Data Quality Monitoring,Active,Alexander,46%,High,2026-03-16
Risk Management Dashboard,Active,Evelyn,69%,Medium,2026-03-13
Sales Pipeline BI,Active,Michael,74%,Low,2026-03-10